Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,X_coordinate,Y_coordinate,Postal_code,Security_region_code,Security_region_name,Percentage_in_security_region,RNA_per_ml,Representative_measurement,RNA_flow_per_100000
4/19/2020,13030,Leimuiden,104642,470631,2451VX,VR16,Hollands-Midden,"0,855650522",312,TRUE,
4/19/2020,13030,Leimuiden,104642,470631,2451VX,VR12,Kennemerland,"0,144349478",312,TRUE,
4/20/2020,13010,Haarlem Waarderpolder,105881,489932,2031BH,VR12,Kennemerland,1,91,TRUE,
4/20/2020,15005,Houtrust,78484,455921,2566GJ,VR15,Haaglanden,1,245,TRUE,
4/20/2020,32002,Tilburg,132554,401565,5048TD,VR20,Midden- en West-Brabant,1,412,TRUE,
4/21/2020,3010,Assen,234705,558203,9403AK,VR03,Drenthe,1,37,TRUE,
4/21/2020,2032,Harlingen,159027,576146,8861KT,VR02,Friesland,1,1050,TRUE,
4/21/2020,2011,Leeuwarden,184401,578940,8937AN,VR02,Friesland,1,114,TRUE,
4/21/2020,6004,Lelystad,158268,501627,8243PE,VR25,Flevoland,1,490,TRUE,
4/21/2020,1008,Stadskanaal,260571,559393,9501LH,VR01,Groningen,1,63,TRUE,
4/21/2020,23002,Terneuzen,46894,368651,4538BJ,VR19,Zeeland,1,485,TRUE,
4/21/2020,10009,Utrecht,135481,458130,3552TJ,VR09,Utrecht,1,347,TRUE,
4/21/2020,4026,Zwolle,199604,502805,8042PK,VR04,IJsselland,1,277,TRUE,
4/22/2020,12022,Beverwijk,106373,498868,1948NS,VR12,Kennemerland,"0,435961337",173,TRUE,
4/22/2020,12022,Beverwijk,106373,498868,1948NS,VR10,Noord-Holland-Noord,"0,107744265",173,TRUE,
4/22/2020,12022,Beverwijk,106373,498868,1948NS,VR11,Zaanstreek-Waterland,"0,456294399",173,TRUE,
4/22/2020,7022,Etten,218761,438451,7061GK,VR06,Noord- en Oost-Gelderland,1,1250,TRUE,
4/22/2020,1033,Garmerwolde,240219,585040,9798TC,VR01,Groningen,1,372,TRUE,
4/22/2020,25020,Kaatsheuvel,129083,407604,5171VG,VR20,Midden- en West-Brabant,1,420,TRUE,
4/22/2020,25027,Lage Zwaluwe,107818,414149,4926CZ,VR20,Midden- en West-Brabant,1,233,TRUE,
4/22/2020,30007,Bosscherveld,175697,319239,6219NW,VR24,Limburg-Zuid,1,861,TRUE,
4/22/2020,5012,Oldenzaal,257703,481136,7576PE,VR05,Twente,1,174,TRUE,
4/22/2020,3028,Sleen,249969,532246,7841BP,VR03,Drenthe,1,4083,TRUE,
4/22/2020,30020,Venray,196603,395898,5804CG,VR23,Limburg-Noord,1,564,TRUE,
4/22/2020,21001,Walcheren,31809,385219,4389VM,VR19,Zeeland,1,82,TRUE,
4/23/2020,27008,'s Hertogenbosch,147493,415446,5221CD,VR21,Brabant-Noord,1,532,TRUE,
4/23/2020,28005,Dinther,165227,405407,5473XL,VR21,Brabant-Noord,1,1698,TRUE,
4/23/2020,29003,Land van Cuijk,189957,411781,5443PL,VR21,Brabant-Noord,1,751,TRUE,
4/23/2020,4027,Tollebeek,175622,521799,8309PP,VR25,Flevoland,1,9475,TRUE,
4/26/2020,13010,Haarlem Waarderpolder,105881,489932,2031BH,VR12,Kennemerland,1,135,TRUE,
4/27/2020,10027,Amersfoort,152483,464648,3812RH,VR09,Utrecht,1,526,TRUE,
4/27/2020,15005,Houtrust,78484,455921,2566GJ,VR15,Haaglanden,1,447,TRUE,
4/27/2020,13030,Leimuiden,104642,470631,2451VX,VR16,Hollands-Midden,"0,855650522",419,TRUE,
4/27/2020,13030,Leimuiden,104642,470631,2451VX,VR12,Kennemerland,"0,144349478",419,TRUE,
4/27/2020,6004,Lelystad,158268,501627,8243PE,VR25,Flevoland,1,439,TRUE,
4/27/2020,32002,Tilburg,132554,401565,5048TD,VR20,Midden- en West-Brabant,1,561,TRUE,
4/28/2020,9016,Arnhem,187878,442241,6841HJ,VR07,Gelderland-Midden,"0,864490095",80,TRUE,
4/28/2020,9016,Arnhem,187878,442241,6841HJ,VR08,Gelderland-Zuid,"0,135509905",80,TRUE,
4/28/2020,3010,Assen,234705,558203,9403AK,VR03,Drenthe,1,52,TRUE,
4/28/2020,2032,Harlingen,159027,576146,8861KT,VR02,Friesland,1,93,TRUE,
4/28/2020,29003,Land van Cuijk,189957,411781,5443PL,VR21,Brabant-Noord,1,607,TRUE,
4/28/2020,2011,Leeuwarden,184401,578940,8937AN,VR02,Friesland,1,119,TRUE,
4/28/2020,1008,Stadskanaal,260571,559393,9501LH,VR01,Groningen,1,26,TRUE,
4/28/2020,23002,Terneuzen,46894,368651,4538BJ,VR19,Zeeland,1,723,TRUE,
4/28/2020,10009,Utrecht,135481,458130,3552TJ,VR09,Utrecht,1,370,TRUE,
4/28/2020,4026,Zwolle,199604,502805,8042PK,VR04,IJsselland,1,338,TRUE,
4/29/2020,12022,Beverwijk,106373,498868,1948NS,VR12,Kennemerland,"0,435961337",90,TRUE,
4/29/2020,12022,Beverwijk,106373,498868,1948NS,VR10,Noord-Holland-Noord,"0,107744265",90,TRUE,
4/29/2020,12022,Beverwijk,106373,498868,1948NS,VR11,Zaanstreek-Waterland,"0,456294399",90,TRUE,
4/29/2020,28005,Dinther,165227,405407,5473XL,VR21,Brabant-Noord,1,382,TRUE,
4/29/2020,7022,Etten,218761,438451,7061GK,VR06,Noord- en Oost-Gelderland,1,244,TRUE,
4/29/2020,1033,Garmerwolde,240219,585040,9798TC,VR01,Groningen,1,71,TRUE,
4/29/2020,25020,Kaatsheuvel,129083,407604,5171VG,VR20,Midden- en West-Brabant,1,875,TRUE,
4/29/2020,25027,Lage Zwaluwe,107818,414149,4926CZ,VR20,Midden- en West-Brabant,1,52,TRUE,
4/29/2020,30007,Bosscherveld,175697,319239,6219NW,VR24,Limburg-Zuid,1,513,TRUE,
4/29/2020,5012,Oldenzaal,257703,481136,7576PE,VR05,Twente,1,18,TRUE,
4/29/2020,3028,Sleen,249969,532246,7841BP,VR03,Drenthe,1,64,TRUE,
4/29/2020,4027,Tollebeek,175622,521799,8309PP,VR25,Flevoland,1,684,TRUE,
4/29/2020,30020,Venray,196603,395898,5804CG,VR23,Limburg-Noord,1,177,TRUE,
4/29/2020,21001,Walcheren,31809,385219,4389VM,VR19,Zeeland,1,65,TRUE,
4/30/2020,9016,Arnhem,187878,442241,6841HJ,VR07,Gelderland-Midden,"0,864490095",428,TRUE,
4/30/2020,9016,Arnhem,187878,442241,6841HJ,VR08,Gelderland-Zuid,"0,135509905",428,TRUE,
4/30/2020,15005,Houtrust,78484,455921,2566GJ,VR15,Haaglanden,1,102,TRUE,
5/1/2020,13010,Haarlem Waarderpolder,105881,489932,2031BH,VR12,Kennemerland,1,57,TRUE,
5/3/2020,10027,Amersfoort,152483,464648,3812RH,VR09,Utrecht,1,112,TRUE,
5/3/2020,9016,Arnhem,187878,442241,6841HJ,VR07,Gelderland-Midden,"0,864490095",250,TRUE,
5/3/2020,9016,Arnhem,187878,442241,6841HJ,VR08,Gelderland-Zuid,"0,135509905",250,TRUE,
5/3/2020,29003,Land van Cuijk,189957,411781,5443PL,VR21,Brabant-Noord,1,460,TRUE,
5/5/2020,3010,Assen,234705,558203,9403AK,VR03,Drenthe,1,0,TRUE,
5/5/2020,27008,'s Hertogenbosch,147493,415446,5221CD,VR21,Brabant-Noord,1,273,TRUE,
5/5/2020,28005,Dinther,165227,405407,5473XL,VR21,Brabant-Noord,1,581,TRUE,
5/5/2020,2032,Harlingen,159027,576146,8861KT,VR02,Friesland,1,0,TRUE,
5/5/2020,15005,Houtrust,78484,455921,2566GJ,VR15,Haaglanden,1,293,TRUE,
5/5/2020,2011,Leeuwarden,184401,578940,8937AN,VR02,Friesland,1,43,TRUE,
5/5/2020,1008,Stadskanaal,260571,559393,9501LH,VR01,Groningen,1,334,TRUE,
5/5/2020,32002,Tilburg,132554,401565,5048TD,VR20,Midden- en West-Brabant,1,262,TRUE,
5/5/2020,4027,Tollebeek,175622,521799,8309PP,VR25,Flevoland,1,1125,TRUE,
5/5/2020,10009,Utrecht,135481,458130,3552TJ,VR09,Utrecht,1,229,TRUE,
5/5/2020,4026,Zwolle,199604,502805,8042PK,VR04,IJsselland,1,113,TRUE,
5/6/2020,12022,Beverwijk,106373,498868,1948NS,VR12,Kennemerland,"0,435961337",18,TRUE,
5/6/2020,12022,Beverwijk,106373,498868,1948NS,VR10,Noord-Holland-Noord,"0,107744265",18,TRUE,
5/6/2020,12022,Beverwijk,106373,498868,1948NS,VR11,Zaanstreek-Waterland,"0,456294399",18,TRUE,
5/6/2020,7022,Etten,218761,438451,7061GK,VR06,Noord- en Oost-Gelderland,1,264,TRUE,
5/6/2020,1033,Garmerwolde,240219,585040,9798TC,VR01,Groningen,1,385,TRUE,
5/6/2020,25020,Kaatsheuvel,129083,407604,5171VG,VR20,Midden- en West-Brabant,1,380,TRUE,
5/6/2020,25027,Lage Zwaluwe,107818,414149,4926CZ,VR20,Midden- en West-Brabant,1,459,TRUE,
5/6/2020,13030,Leimuiden,104642,470631,2451VX,VR16,Hollands-Midden,"0,855650522",90,TRUE,
5/6/2020,13030,Leimuiden,104642,470631,2451VX,VR12,Kennemerland,"0,144349478",90,TRUE,
5/6/2020,6004,Lelystad,158268,501627,8243PE,VR25,Flevoland,1,335,TRUE,
5/6/2020,30007,Bosscherveld,175697,319239,6219NW,VR24,Limburg-Zuid,1,516,TRUE,
5/6/2020,5012,Oldenzaal,257703,481136,7576PE,VR05,Twente,1,38,TRUE,
5/6/2020,3028,Sleen,249969,532246,7841BP,VR03,Drenthe,1,0,TRUE,
5/6/2020,23002,Terneuzen,46894,368651,4538BJ,VR19,Zeeland,1,651,TRUE,
5/6/2020,30020,Venray,196603,395898,5804CG,VR23,Limburg-Noord,1,337,TRUE,
5/6/2020,21001,Walcheren,31809,385219,4389VM,VR19,Zeeland,1,105,TRUE,
5/7/2020,9016,Arnhem,187878,442241,6841HJ,VR07,Gelderland-Midden,"0,864490095",0,TRUE,
5/7/2020,9016,Arnhem,187878,442241,6841HJ,VR08,Gelderland-Zuid,"0,135509905",0,TRUE,
5/7/2020,13010,Haarlem Waarderpolder,105881,489932,2031BH,VR12,Kennemerland,1,318,TRUE,
5/9/2020,6004,Lelystad,158268,501627,8243PE,VR25,Flevoland,1,222,TRUE,
5/10/2020,10027,Amersfoort,152483,464648,3812RH,VR09,Utrecht,1,0,TRUE,
5/10/2020,27008,'s Hertogenbosch,147493,415446,5221CD,VR21,Brabant-Noord,1,405,TRUE,
5/10/2020,28005,Dinther,165227,405407,5473XL,VR21,Brabant-Noord,1,260,TRUE,
5/10/2020,29003,Land van Cuijk,189957,411781,5443PL,VR21,Brabant-Noord,1,92,TRUE,
5/11/2020,9016,Arnhem,187878,442241,6841HJ,VR07,Gelderland-Midden,"0,864490095",15,TRUE,
5/11/2020,9016,Arnhem,187878,442241,6841HJ,VR08,Gelderland-Zuid,"0,135509905",15,TRUE,
5/11/2020,1033,Garmerwolde,240219,585040,9798TC,VR01,Groningen,1,43,TRUE,
5/11/2020,15005,Houtrust,78484,455921,2566GJ,VR15,Haaglanden,1,680,TRUE,
5/11/2020,13030,Leimuiden,104642,470631,2451VX,VR16,Hollands-Midden,"0,855650522",24,TRUE,
5/11/2020,13030,Leimuiden,104642,470631,2451VX,VR12,Kennemerland,"0,144349478",24,TRUE,
5/11/2020,32002,Tilburg,132554,401565,5048TD,VR20,Midden- en West-Brabant,1,283,TRUE,
5/11/2020,4027,Tollebeek,175622,521799,8309PP,VR25,Flevoland,1,716,TRUE,
5/11/2020,21001,Walcheren,31809,385219,4389VM,VR19,Zeeland,1,51,TRUE,
5/12/2020,3010,Assen,234705,558203,9403AK,VR03,Drenthe,1,16,TRUE,
5/12/2020,2032,Harlingen,159027,576146,8861KT,VR02,Friesland,1,0,TRUE,
5/12/2020,2011,Leeuwarden,184401,578940,8937AN,VR02,Friesland,1,53,TRUE,
5/12/2020,1008,Stadskanaal,260571,559393,9501LH,VR01,Groningen,1,0,TRUE,
5/12/2020,10009,Utrecht,135481,458130,3552TJ,VR09,Utrecht,1,258,TRUE,
5/12/2020,4026,Zwolle,199604,502805,8042PK,VR04,IJsselland,1,108,TRUE,
5/13/2020,12022,Beverwijk,106373,498868,1948NS,VR12,Kennemerland,"0,435961337",47,TRUE,
5/13/2020,12022,Beverwijk,106373,498868,1948NS,VR10,Noord-Holland-Noord,"0,107744265",47,TRUE,
5/13/2020,12022,Beverwijk,106373,498868,1948NS,VR11,Zaanstreek-Waterland,"0,456294399",47,TRUE,
5/13/2020,27008,'s Hertogenbosch,147493,415446,5221CD,VR21,Brabant-Noord,1,76,TRUE,
5/13/2020,7022,Etten,218761,438451,7061GK,VR06,Noord- en Oost-Gelderland,1,0,TRUE,
5/13/2020,13010,Haarlem Waarderpolder,105881,489932,2031BH,VR12,Kennemerland,1,0,TRUE,
5/13/2020,25020,Kaatsheuvel,129083,407604,5171VG,VR20,Midden- en West-Brabant,1,42,TRUE,
5/13/2020,25027,Lage Zwaluwe,107818,414149,4926CZ,VR20,Midden- en West-Brabant,1,102,TRUE,
5/13/2020,30007,Bosscherveld,175697,319239,6219NW,VR24,Limburg-Zuid,1,240,TRUE,
5/13/2020,5012,Oldenzaal,257703,481136,7576PE,VR05,Twente,1,165,TRUE,
5/13/2020,3028,Sleen,249969,532246,7841BP,VR03,Drenthe,1,535,TRUE,
5/13/2020,23002,Terneuzen,46894,368651,4538BJ,VR19,Zeeland,1,146,TRUE,
5/13/2020,30020,Venray,196603,395898,5804CG,VR23,Limburg-Noord,1,0,TRUE,
5/15/2020,6004,Lelystad,158268,501627,8243PE,VR25,Flevoland,1,265,TRUE,
5/16/2020,21001,Walcheren,31809,385219,4389VM,VR19,Zeeland,1,52,TRUE,
5/17/2020,10027,Amersfoort,152483,464648,3812RH,VR09,Utrecht,1,209,TRUE,
5/17/2020,9016,Arnhem,187878,442241,6841HJ,VR07,Gelderland-Midden,"0,864490095",89,TRUE,
5/17/2020,9016,Arnhem,187878,442241,6841HJ,VR08,Gelderland-Zuid,"0,135509905",89,TRUE,
5/17/2020,27008,'s Hertogenbosch,147493,415446,5221CD,VR21,Brabant-Noord,1,188,TRUE,
5/17/2020,28005,Dinther,165227,405407,5473XL,VR21,Brabant-Noord,1,165,TRUE,
5/17/2020,15005,Houtrust,78484,455921,2566GJ,VR15,Haaglanden,1,758,TRUE,
5/17/2020,4027,Tollebeek,175622,521799,8309PP,VR25,Flevoland,1,160,TRUE,
5/18/2020,32002,Tilburg,132554,401565,5048TD,VR20,Midden- en West-Brabant,1,211,TRUE,
5/19/2020,3010,Assen,234705,558203,9403AK,VR03,Drenthe,1,0,TRUE,
5/19/2020,13010,Haarlem Waarderpolder,105881,489932,2031BH,VR12,Kennemerland,1,0,TRUE,
5/19/2020,2032,Harlingen,159027,576146,8861KT,VR02,Friesland,1,0,TRUE,
5/19/2020,29003,Land van Cuijk,189957,411781,5443PL,VR21,Brabant-Noord,1,397,TRUE,
5/19/2020,2011,Leeuwarden,184401,578940,8937AN,VR02,Friesland,1,0,TRUE,
5/19/2020,1008,Stadskanaal,260571,559393,9501LH,VR01,Groningen,1,0,TRUE,
5/19/2020,10009,Utrecht,135481,458130,3552TJ,VR09,Utrecht,1,297,TRUE,
5/19/2020,4026,Zwolle,199604,502805,8042PK,VR04,IJsselland,1,83,TRUE,
5/20/2020,13030,Leimuiden,104642,470631,2451VX,VR16,Hollands-Midden,"0,855650522",68,TRUE,
5/20/2020,13030,Leimuiden,104642,470631,2451VX,VR12,Kennemerland,"0,144349478",68,TRUE,
5/21/2020,12022,Beverwijk,106373,498868,1948NS,VR12,Kennemerland,"0,435961337",123,TRUE,
5/21/2020,12022,Beverwijk,106373,498868,1948NS,VR10,Noord-Holland-Noord,"0,107744265",123,TRUE,
5/21/2020,12022,Beverwijk,106373,498868,1948NS,VR11,Zaanstreek-Waterland,"0,456294399",123,TRUE,
5/21/2020,7022,Etten,218761,438451,7061GK,VR06,Noord- en Oost-Gelderland,1,2130,TRUE,
5/21/2020,25020,Kaatsheuvel,129083,407604,5171VG,VR20,Midden- en West-Brabant,1,428,TRUE,
5/21/2020,25027,Lage Zwaluwe,107818,414149,4926CZ,VR20,Midden- en West-Brabant,1,0,TRUE,
5/21/2020,6004,Lelystad,158268,501627,8243PE,VR25,Flevoland,1,278,TRUE,
5/21/2020,30007,Bosscherveld,175697,319239,6219NW,VR24,Limburg-Zuid,1,968,TRUE,
5/21/2020,5012,Oldenzaal,257703,481136,7576PE,VR05,Twente,1,0,TRUE,
5/21/2020,3028,Sleen,249969,532246,7841BP,VR03,Drenthe,1,0,TRUE,
5/21/2020,30020,Venray,196603,395898,5804CG,VR23,Limburg-Noord,1,0,TRUE,
5/22/2020,1033,Garmerwolde,240219,585040,9798TC,VR01,Groningen,1,108,TRUE,
5/22/2020,23002,Terneuzen,46894,368651,4538BJ,VR19,Zeeland,1,0,TRUE,
5/22/2020,21001,Walcheren,31809,385219,4389VM,VR19,Zeeland,1,0,TRUE,
5/23/2020,4027,Tollebeek,175622,521799,8309PP,VR25,Flevoland,1,63,TRUE,
5/24/2020,10027,Amersfoort,152483,464648,3812RH,VR09,Utrecht,1,0,TRUE,
5/24/2020,15005,Houtrust,78484,455921,2566GJ,VR15,Haaglanden,1,662,TRUE,
5/25/2020,9016,Arnhem,187878,442241,6841HJ,VR07,Gelderland-Midden,"0,864490095",731,TRUE,
5/25/2020,9016,Arnhem,187878,442241,6841HJ,VR08,Gelderland-Zuid,"0,135509905",731,TRUE,
5/25/2020,13010,Haarlem Waarderpolder,105881,489932,2031BH,VR12,Kennemerland,1,0,TRUE,
5/25/2020,29003,Land van Cuijk,189957,411781,5443PL,VR21,Brabant-Noord,1,91,TRUE,
